run_id,scenario,robot_id,timestamp,success,failure_reason,elapsed_sec,min_ped_clearance_m,min_robot_clearance_m,path_dev_mean_m,path_dev_max_m,avg_solver_ms,max_solver_ms,avg_v_mps,avg_abs_w_rps,v_jerk_std,w_jerk_std
0,S1,0,2026-05-12 18:06:46,0,timeout,120.2,0.982,-1,0.758,1.758,3.38,101.63,0.555,0.563,0.031,0.1692
0,S1,0,2026-05-12 18:37:10,0,timeout,120.0,0.988,-1,1.04,1.793,8.86,115.42,0.54,0.592,0.0309,0.0842
0,ST_MPC_filter,0,2026-05-14 17:35:19,0,timeout,480.19,1.025,-1,1.602,2.624,7.16,103.82,0.177,0.672,0.0293,0.1799
0,ST_MPC_filter,0,2026-05-14 17:56:41,0,timeout,480.01,0.981,-1,1.746,2.677,6.79,102.54,0.186,0.693,0.0292,0.131
0,ST_MPC_filter,0,2026-05-14 18:34:37,0,timeout,480.09,0.946,-1,1.663,2.531,6.07,102.35,0.18,0.658,0.028,0.1996
0,ST_MPC_filter,0,2026-05-15 15:36:58,0,timeout,480.01,1.025,-1,1.692,2.816,6.77,103.21,0.181,0.657,0.029,0.2049
1,ST_MPC_filter,0,2026-05-15 15:44:58,0,timeout,480.19,2.414,-1,3.012,3.248,11.53,102.75,0.018,0.734,0.0207,0.119
2,ST_MPC_filter,0,2026-05-15 15:52:58,0,timeout,480.02,2.721,-1,3.62,3.776,10.91,102.33,0.014,0.731,0.0184,0.1312
3,ST_MPC_filter,0,2026-05-15 16:00:58,0,timeout,480.02,2.789,-1,4.135,4.246,12.44,105.28,0.021,0.734,0.0208,0.1203
4,ST_MPC_filter,0,2026-05-15 16:08:59,0,timeout,480.19,2.674,-1,4.228,4.326,11.99,105.02,0.013,0.731,0.0188,0.1299
0,ST_MPC_filter,0,2026-05-15 16:26:15,0,ped_too_close,49.2,0.187,-1,0.228,0.891,4.4,100.87,1.273,0.351,0.0654,0.0637
0,ST_MPC_filter,0,2026-05-15 16:27:43,0,ped_too_close,47.83,0.275,-1,0.205,0.773,4.39,101.27,1.299,0.337,0.0609,0.0644
1,ST_MPC_filter,0,2026-05-15 16:37:54,0,timeout,480.01,1.702,-1,0.974,1.389,9.24,104.8,0.027,0.734,0.0217,0.1145
0,ST_MPC_filter,0,2026-05-15 16:47:32,0,ped_too_close,50.3,0.292,-1,0.269,1.066,4.56,105.41,1.262,0.365,0.0654,0.0638
1,ST_MPC_filter,0,2026-05-15 16:57:41,0,timeout,480.01,1.914,-1,1.156,1.83,11.37,133.96,0.044,0.736,0.023,0.1098
2,ST_MPC_filter,0,2026-05-15 17:05:41,0,timeout,480.2,1.776,-1,1.618,2.0,8.69,100.94,0.025,0.733,0.0187,0.123
0,ST_MPC_filter,0,2026-05-15 17:17:17,0,ped_too_close,111.94,0.024,-1,0.627,1.062,2.27,100.94,0.85,0.578,0.0436,0.048
0,ST_MPC_filter,0,2026-05-15 17:21:09,0,ped_too_close,52.54,0.241,-1,0.317,1.248,3.77,100.17,1.225,0.381,0.066,0.0623
0,ST_MPC_filter,0,2026-05-15 17:24:51,1,,48.14,0.334,-1,0.219,0.849,5.23,102.79,1.296,0.344,0.0613,0.0648
0,ST_MPC_filter,0,2026-05-15 17:27:45,1,,53.54,0.377,-1,0.374,1.407,3.87,91.18,1.208,0.395,0.0643,0.0625
