2026-05-23 22:15:47,256 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /home/michael/ros2_ws_test/wandb/run-20260523_221547-tt9jfdf0/logs/debug.log
2026-05-23 22:15:47,257 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /home/michael/ros2_ws_test/wandb/run-20260523_221547-tt9jfdf0/logs/debug-internal.log
2026-05-23 22:15:47,257 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():851] calling init triggers
2026-05-23 22:15:47,257 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():856] wandb.init called with sweep_config: {}
config: {'scenario': 'C4lite_g05_ST_original', 'predictor_variant': 'zara2', 'qrpd': 30.0, 'qvel': 10.0, 'qstcobs': 300.0, 'qdynobs': 250.0, 'ang_acc_penalty': 2.0, 'N_hor': 20, 'ts': 0.2, '_wandb': {}}
2026-05-23 22:15:47,257 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():899] starting backend
2026-05-23 22:15:47,257 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():914] sending inform_init request
2026-05-23 22:15:47,569 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():919] backend started and connected
2026-05-23 22:15:47,570 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():989] updated telemetry
2026-05-23 22:15:47,570 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():1012] communicating run to backend with 90.0 second timeout
2026-05-23 22:15:48,435 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():1057] starting run threads in backend
2026-05-23 22:15:48,506 INFO    Thread-6 (_init_wandb):84403 [wandb_run.py:_console_start():2509] atexit reg
2026-05-23 22:15:48,506 INFO    Thread-6 (_init_wandb):84403 [wandb_run.py:_redirect():2359] redirect: wrap_raw
2026-05-23 22:15:48,506 INFO    Thread-6 (_init_wandb):84403 [wandb_run.py:_redirect():2428] Wrapping output streams.
2026-05-23 22:15:48,506 INFO    Thread-6 (_init_wandb):84403 [wandb_run.py:_redirect():2451] Redirects installed.
2026-05-23 22:15:48,506 INFO    Thread-6 (_init_wandb):84403 [wandb_init.py:init():1095] run started, returning control to user process
